source,time,person,location,organization,miscellaneous
americablog,2011-04-01T00:00:00,james|kristina schake|greenwald|josef mengele|mitchell|michelle obama|larry james|jim l. h. cox|larry â€œ gitmo|glenn|glenn greenwald,guantÃ¡namo bsct|ohio|abu ghraib|texas|louisiana|guantanamo|gitmo,task force|the council|apa council of representatives|psychological well-being of the military family|the board of examiners of psychologists|school of professional psychology|cia|wright state university|chief psychologist of guantanamo|harvard law school human rights program|new york times|texas state board of psychologists|apa|truthout|dean|hippocratic oath|first lady â€™s|american psychological association|chief psychologist,auschwitz|bush-era
americablog,2011-04-01T00:00:00,your highness,usa,blue texan|bureau of labor statistics|governancemetrics international|usa today,galtian
americablog,2011-05-01T00:00:00,osama|mission accomplished|bin laden|george bush|flynt l. leverett|leon panetta|leverett|osama bin laden,pentagon|pakistan|tora bora|afghanistan|pennsylvania|shanksville|iraq|abbottabad|middle east,justice|taliban|islam|yet osama|twin towers|cia|live chat|cnn|national security council,qaeda|pakistani|afghan|flight 93
americablog,2011-05-01T00:00:00,â€œ you|donald trump|trump,n.j.|taj mahal|atlantic city|new jersey,trump hotels & casino resorts|trump entertainment resorts inc.|â€œ bush,midas
americablog,2011-05-01T00:00:00,cockburn|grant|glenn mulcaire|andy coulson|cameron|rupert murdoch|bruce page|alexander cockburn|peter ] burden|murdoch|clive goodman|paul mcmullan|rupert|rebekah brooks|james murdoch|ian edmondson|david cameron|coulson|james|goodman|gordon brown|les hinton|steven barnett|david|hugh grant,uk|britain,news corp. remember|dow jones and company ]|news corp.|news international|level|the nation|competition commission|bskyb,britons|world â€™s|world
americablog,2011-05-01T00:00:00,moussa ibrahim|muammar gaddafi|gaddafi|al-arab gaddafi,tripoli,nato,libyan
americablog,2011-06-01T00:00:00,john mccain|alex massie,uk,palin inc,troll
americablog,2011-06-01T00:00:00,paul krugman|jackie gleason,chinatown|war|san fernando valley,great depression|model-t ford|standard & poor|two jakes|ny times,american dream|model-t|post-war|honeymooners
americablog,2011-06-01T00:00:00,wolf|martin|krugman|martin wolf|paul krugman|hans-werner sinn,munich|europe|ireland|greece|germany|portugal|spain,ifo institute for economic research|financial times|european system of central banks|escb,update|new drachmas|european|greek|bundesbank|german|irish|gp
americablog,2011-07-01T00:00:00,green square|green|gadhafi,libya|europe|tripoli|lockerbie,international criminal court|nato,libyan
americablog,2011-07-01T00:00:00,harry reid|chuck muth|muth,las vegas|nevada|new york|hawaii,new york state legislature|gopers|gop|via the strip podcast,sharron angle-richard ziser
americablog,2011-08-01T00:00:00,kleinedler|steve|steve â€™s|andrew harmon|peter dubuque|steve kleinedler,massachusetts,american heritage dictionary,advocate
